brand_id,forecast_units,actual_units,forecast_error
3,40298.91515723233,40334,35.084842767668306
4,18983.055550807447,18924,-59.05555080744671
5,22546.587870409414,22574,27.41212959058612
6,5039.586978882032,5180,140.41302111796813
7,19347.33377351818,19333,-14.33377351818126
9,20727.444243009453,20635,-92.4442430094532
10,9650.972947156552,9539,-111.97294715655153
11,7425.068809639811,7531,105.93119036018925
12,36729.046865601515,36549,-180.04686560151458
13,13785.660825937102,13778,-7.660825937102345
14,9985.66173068374,10075,89.33826931626027
15,13616.625244777246,13565,-51.625244777245825
16,20794.331975590725,20706,-88.33197559072505
17,49002.432137842145,49247,244.56786215785542
18,8253.368085569224,8252,-1.3680855692236946
19,13469.258938220233,13229,-240.25893822023318
20,10355.459531626688,10171,-184.45953162668775
